id,target
2142,0
3846,0
6177,0
11779,2
1593,0
14748,0
11962,1
3464,0
12335,0
8760,0
7516,2
901,2
6254,3
2588,2
1471,1
3368,1
12929,0
913,0
4245,0
12917,2
14499,4
6833,0
5366,4
7432,0
8247,0
11905,2
11551,2
6156,1
1109,2
9402,1
10371,0
13591,4
14529,1
355,0
12893,0
8715,2
1520,0
9585,4
10131,4
3399,2
9207,4
6531,4
2897,1
11846,4
12614,0
2155,0
169,2
992,0
4027,0
10783,2
670,3
14809,3
4748,4
10629,0
11913,1
12869,4
8473,0
10590,0
3185,3
4653,0
9026,1
12369,0
13440,1
5341,4
4768,4
5348,0
13400,1
8962,0
68,0
8110,3
14990,1
5764,3
216,2
12418,0
650,4
4452,0
6605,4
13060,0
14260,0
9035,1
11182,4
3819,0
10739,0
6032,0
5645,3
14707,1
3196,0
13507,2
12679,2
3098,0
724,4
9872,0
7131,0
7062,0
667,0
6016,0
2953,2
5521,0
13518,0
3014,3
4949,4
573,0
9229,0
2197,1
5898,0
8616,2
13387,2
11591,0
12134,4
1864,1
2989,4
5894,0
10205,4
13194,4
4095,3
13195,1
210,0
317,3
10290,4
13670,4
5168,0
11039,0
11786,0
1912,0
12932,0
6135,2
12752,0
10200,2
11750,0
11020,0
6130,0
1521,2
4435,0
7522,3
138,1
6494,0
5067,0
11567,4
3164,2
5509,2
9992,2
2940,1
11612,2
8798,1
7055,0
2627,1
9572,0
11471,4
12360,1
4953,0
2737,0
12813,1
6344,0
6301,4
4997,0
11933,4
5183,2
5635,1
4211,4
14837,4
5601,2
9283,0
13083,2
13105,0
13969,0
3362,4
13265,0
11206,0
12636,1
11157,0
10855,0
3147,1
8262,4
14218,4
13120,3
10666,0
14045,0
4846,0
4454,0
1291,0
9206,1
12290,1
7618,0
8016,4
9261,0
10844,4
3499,3
2191,1
10621,0
5358,0
3036,4
11620,0
13890,0
11178,0
11441,3
6093,1
2982,3
10203,0
8943,0
9747,2
2016,2
8506,0
4989,3
1535,0
10699,2
6743,0
5173,0
4898,0
6572,2
12140,4
7861,2
14592,4
1187,0
12411,0
14502,1
7074,0
13646,1
4135,4
6351,3
7399,0
4699,4
1759,3
12839,2
6891,1
8651,2
100,0
3506,0
10193,0
8475,0
12315,2
7990,3
2066,3
14936,1
5691,0
3169,0
14935,0
11849,0
3775,0
4403,1
10069,4
10837,3
7993,0
3518,0
12782,1
12031,0
13168,3
174,0
663,2
8242,1
11395,0
3030,0
532,3
6982,3
1079,0
1304,3
8686,0
13627,0
5869,0
11984,2
5380,1
487,3
7352,0
2075,4
164,1
14517,0
12120,0
1907,0
3833,1
5226,0
13999,1
429,2
2521,2
3908,1
10447,0
7645,0
669,0
1571,0
12645,2
14715,0
9896,2
5526,0
83,0
4550,3
4061,0
15,3
14236,0
11399,1
8693,3
6901,2
7904,1
10843,4
14053,0
2921,1
3865,2
3496,1
3612,0
14941,4
7346,2
13844,4
14779,0
7438,0
10457,4
4359,2
3366,4
11646,1
7824,0
3614,0
8182,0
7214,0
4810,0
8940,2
12699,0
11810,0
9508,0
1942,0
9546,4
6136,4
14184,2
13230,3
613,0
9315,0
3508,1
1241,4
14851,0
5789,2
8606,2
11121,1
11952,2
7325,0
14532,2
463,1
7573,2
1541,2
6914,1
4686,0
12577,0
6087,0
3490,0
4482,1
1181,0
3915,4
2797,0
3361,4
14375,0
14952,0
7313,1
241,0
11428,4
7265,0
12847,4
6392,0
1984,0
9071,0
2122,0
10234,0
7357,0
11830,0
14868,4
10751,0
14390,0
3507,0
3921,4
458,1
9231,2
5002,4
3876,3
9370,2
14956,4
11401,1
14444,0
9697,2
3260,0
2235,2
7411,4
8045,0
5949,4
13769,4
1200,0
3815,4
14326,4
11907,0
6522,4
9940,4
1607,1
2992,0
14576,1
13158,4
9353,1
11339,4
9706,0
6440,0
2885,0
1232,3
1793,0
14312,0
5860,1
5479,4
11076,4
2755,3
